"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","parameter"
"beta_r[9]",-0.00611216500249996,-0.03862335,2.22752489584646,2.28016467,-3.657045,3.683678,1.00045848661245,10011.8064024643,2920.76544491815,"32"
"beta_r[10]",0.29775038595805,0.288523,0.362222718280449,0.35460092913,-0.29883305,0.90979655,1.01933038320444,271.997320475021,585.442439874534,"33"
"beta_r[11]",-1.2122734085,-1.223365,0.360810074173403,0.3614979102,-1.800813,-0.616302700000001,1.01938773068764,264.168681839156,690.752196113902,"34"
"beta_r[12]",-0.578525268367,-0.581521,0.361876348595729,0.3636269238,-1.169934,0.0266624049999999,1.02073029195665,262.391393555081,605.780043092628,"35"
"beta_r[13]",-0.45354953091175,-0.45913,0.363657257303403,0.3622251255,-1.050434,0.15370595,1.01877083027175,272.159350551728,647.453606653327,"36"
"beta_r[14]",0.0192985079933001,-0.00114621,2.18505118806352,2.245014017946,-3.5011455,3.600925,1.0041128429304,9100.88739209864,2966.58344513918,"37"
"beta_r[15]",-0.0202186853015001,-0.02827635,2.30120269473181,2.32347682749,-3.7561295,3.8106195,1.00249073209523,11891.3080259616,2718.92970066147,"38"
"beta_r[16]",0.565783148841675,0.5616185,0.361260149711513,0.3622251255,-0.03363098,1.158767,1.01962186987296,273.23567622368,642.043742293605,"39"
"beta_r[17]",-0.530232664092925,-0.5372445,0.360854503589096,0.3531145485,-1.127714,0.0787662749999998,1.0180024160072,280.932423736117,672.532165200553,"40"
"beta_r[18]",0.617668762281,0.616647,0.362467588873766,0.361643205,0.02290521,1.220031,1.01882189937073,282.399191920609,655.664421321492,"41"
"beta_r[19]",-0.014985697182975,-0.0134752,2.23704988852518,2.235723735,-3.6249225,3.59017649999999,1.00377601156139,13324.6740615739,2859.93754414762,"42"
"beta_r[20]",0.0289296538525001,0.02687745,2.22696549951173,2.131926909,-3.6154355,3.676789,1.00161055815765,9699.88163299968,2899.77813065936,"43"
"beta_r[21]",-0.00453235473000001,0.01121835,2.29683903700826,2.276576778,-3.739629,3.779,1.00231753880579,8668.80704282705,2506.19687844679,"44"
