"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","parameter"
"beta_r[223]",0.042047078896,0.03640365,2.37710421682317,2.40927889251,-3.886687,4.066603,1.00204059032153,5539.99326551566,3208.64645213438,"249"
"beta_r[224]",-1.6475021425,-1.645535,0.240723486008127,0.252286629,-2.04419,-1.2598475,1.09672712498647,33.8263031090294,185.254721174941,"250"
"beta_r[225]",-0.038659263819,-0.0374771,2.44229818995999,2.48765024046,-4.1003735,4.0239645,1.00044361801773,6322.99454092804,2688.92218762835,"251"
"beta_r[226]",-1.28135497125,-1.28418,0.237950338226748,0.25144896,-1.6568085,-0.8888284,1.10274318706716,32.6348388214701,188.605361283445,"252"
"beta_r[227]",-3.12687768,-3.123975,0.235925510640987,0.2490768,-3.5095905,-2.7482005,1.10281899169262,32.3074683846143,214.50210616144,"253"
"beta_r[228]",1.14350092125,1.147935,0.235183267800789,0.240818718,0.76107995,1.5245745,1.1020370563806,32.4728882967269,198.937895911493,"254"
"beta_r[229]",-1.268290034,-1.269935,0.23467134507243,0.245496321,-1.638782,-0.8883193,1.10609774345878,30.5236268779755,193.122448781127,"255"
"beta_r[230]",-1.3342352175,-1.33353,0.235109870604327,0.24826137,-1.709972,-0.95180615,1.10268983380841,32.9529600293768,192.069888039895,"256"
"beta_r[231]",-0.0421040243925,-0.0511431,2.46683353697558,2.48195112606,-4.0573945,3.980564,1.00008924151003,5896.45001913848,2579.93275909211,"257"
"beta_r[232]",-3.003718125,-3.01146,0.233530984766681,0.244517805000001,-3.3749825,-2.6278835,1.10442737016249,31.5076043434052,224.084133227674,"258"
"beta_r[233]",0.0483907611069999,0.03725575,2.33655142455716,2.31603506505,-3.741549,3.8793715,1.0017704875348,6917.09046192262,3260.74704842464,"259"
"beta_r[234]",-0.0153552088650001,0.05521835,2.37511880030726,2.381670879,-4.0210505,3.8769615,1.00192849898662,6542.96386632876,2591.82140140444,"260"
"beta_r[235]",0.256493445742,0.25767,0.23295816380935,0.24293972556,-0.1209077,0.62648925,1.10584836288496,31.0697973486549,210.213315556215,"261"
"beta_r[236]",-1.94825782525,-1.947395,0.332767829740356,0.339026142,-2.490485,-1.408989,1.04724628535483,69.9763288529385,500.599056492958,"262"
"beta_r[237]",-0.816121933175,-0.8187545,0.235132398391209,0.2475104331,-1.188907,-0.43349395,1.1079256643947,31.1476180907992,197.202299347101,"263"
"beta_r[238]",-0.00475045114350004,0.0314982,2.40384983479754,2.40020812332,-3.9134205,3.905002,1.00063567167017,7204.69166076508,2544.1622953503,"264"
"beta_r[239]",-0.891450363,-0.8937045,0.233709278950754,0.2373887229,-1.262937,-0.5031361,1.10410173802853,32.7116837924465,208.040086813234,"265"
"beta_r[240]",-0.00108816355074998,0.04457605,2.35795824271102,2.396133642,-3.827975,3.8879795,1.00200431020769,6212.59231395009,2738.26324699784,"266"
